"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","Taxon","Assemblage","Group","z2","Stressor","cp","Class_allCP","Class_hiloCP"
21.8195,2.879,47,1,4.34,0.02,3.43,0.674125,1.43165,2.81,21.039,21.8195,0.62,1,4.89824272352746,0,"Suwallia","BMI","Neither",3.43,"AFDM",NA,"Other","Other"
0,0,312,1,56.47,0.01,5.7,0.82545,1.3095,1.81375,2.72565,3.16142,0.99,1,5.61070299369915,1,"Sweltsa","BMI","Decreasers",-5.7,"AFDM",2.0245,"Sensitive","Sensitive"
22.699,0.447,977,2,45.39,0.1,1.71,0,0,0.5325,11.647,19.1013025,0.88,0.92,3.73422189817579,0,"Tanypodinae","BMI","Neither",1.71,"AFDM",NA,"Other","Other"
25.299,3.25,161,2,12.83,0.01,5.5,0.603425,0.90835,4.0725,22.83199,27.801125,1,1,6.8321815326506,2,"Tinodes","BMI","Increasers",5.5,"AFDM",3.08626,"Tolerant","Tolerant"
25.299,1.657405,68,2,6.02,0.01,5.21,0.3809,1.0581,2.01125,3.3257,8.17628879999996,1,1,6.16017277614381,2,"Tipula","BMI","Increasers",5.21,"AFDM",3.08626,"Tolerant","Other"
8.8608,4.2085,381,2,33.32,0.01,11.08,1.77195,2.1017,4.2738725,4.76891,4.91246525,1,1,11.4200973087082,2,"Tricorythodes","BMI","Increasers",11.08,"AFDM",3.08626,"Tolerant","Tolerant"
19.97435,0.3275,512,1,27.9,0.03,2.5,0,0.135,0.317,2.60135000000001,5.60898775,0.9,0.92,4.41994842906579,0,"Turbellaria","BMI","Neither",2.5,"AFDM",NA,"Other","Other"
0,0.54,235,2,13.08,0.07,1.9,0.2281,0.4568,1.009406,16.63515,20.646555,0.56,0.91,3.43062386122134,0,"Wormaldia","BMI","Neither",1.9,"AFDM",NA,"Other","Other"
0,1.75,145,1,11.64,0.01,7.23,0.446875,0.49445,1.35765,1.877605,1.905,1,1,7.65974164171485,1,"Yoraperla","BMI","Decreasers",-7.23,"AFDM",2.0245,"Sensitive","Sensitive"
0,2.5,444,1,25.66,0.01,4.12,0.679575,0.96455,2.5,6.78911,9.64075349999997,0.81,0.91,5.50054147542693,0,"Zaitzevia","BMI","Neither",4.12,"AFDM",NA,"Other","Other"
25.299,0.758,214,1,15.04,0.01,6.3,0.3028,0.3788,0.8505,1.818,2.0161,1,1,7.36780522569124,1,"Zapada","BMI","Decreasers",-6.3,"AFDM",2.0245,"Sensitive","Sensitive"
705.484,49.2402,713,1,72.48,0.002,15.6,22.32275,23.119,39.135,50.704545,51.6364,1,1,16.1539973262228,1,"Achnanthidium","Diatom","Decreasers",-15.6,"Chl-a",10.7,"Sensitive","Other"
1.361675,6.665,123,1,14.22,0.002,4.69,0,0,6.68,9.145,25.5511999999998,0.984,0.981,5.4104334480867,1,"Adlafia","Diatom","Decreasers",-4.69,"Chl-a",10.7,"Sensitive","Sensitive"
514.1395,18.075,125,2,14.09,0.002,4.36,3.705,4.05,17.4275,24.957035,107,0.947,0.996,5.08043097920346,0,"Amphipleura","Diatom","Neither",4.36,"Chl-a",NA,"Other","Other"
7.565,15.7,524,2,54.1,0.002,10.77,7.2,7.295,14.3,16.8705,20,1,1,11.151137653695,2,"Amphora","Diatom","Increasers",10.77,"Chl-a",47.36,"Tolerant","Other"
